# 日本の姓と読み。「姓<TAB>よみ(ひらがな)」。
# 用途は 2 つ:
#   1. 氏名らしさの加点（ここに無い姓を除外はしない。珍しい姓の来訪者は普通にいる）
#   2. メールアドレスのローカル部との突合（渡辺 → watanabe → saburo.watanabe）
#
# **収録が薄いと実害が出る。** 113 件だった頃、実機で読めた氏名（諫山綾音・磯野敏寛）が
# 裏付けを得られず確信度 0.449 / 0.443 となり、確定線 0.45 に 0.001 届かず空欄になった。
#
# 出典: SKK-JISYO.jinmei（SKK Development Team / Wnn Consortium, GPL-2.0-or-later）
#   https://github.com/skk-dev/dict
#   注記が「姓」または「人名」のエントリを取り込んだ。「名」(下の名前)だけのものは除く。
#   **1 文字のものは取り込まない。** 人名注記には下の名前の漢字（亮・俊・仁…）が多く、
#   1 文字を入れると「中部支社」のような行の先頭 1 字に当たって誤って加点してしまう。
#   よくある姓（山田・佐藤など）は jinmei に無いため、従来の手書き分をそのまま残している。
#   取り込み日: 2026-09-24  従来 113 件 + 追加 19612 件
# この辞書は GPL です。配布時はライセンスに従うこと。
一万田	いちまだ
一世	かずとし
一久	かずひさ
一之	かずゆき
一之瀬	いちのせ
一也	かずや
一井	いちい
一仁	かずひと
一代	かずよ
一伊	かずただ
一伸	かずのぶ
一作	いさく
一元	かずもと
一八	かずや
一兵	いつぺい
一則	かずのり
一原	いちはら
一史	いっし
一哉	かずや
一哲	いってつ
一喜	かずよし
一嘉	かずよし
一噌	いっそ
一基	かずき
一場	いちば
一央	かずひさ
一子	いちこ
一孔	かずのり
一存	かずまさ
一孝	かずたか
一宏	かずひろ
一実	かずみ
一宮	いちみや
一寛	かずひろ
一寸	ちょっと
一寸木	ちょっき
一寿	かずとし
一尺八寸	かまつか
一尾	いちお
一岡	いちおか
一岳	かずたか
一平	いっぺい
一幸	いっこう
一広	かずひろ
一彦	かずひこ
一彰	かずあき
一徹	いってつ
一志	かずし
一忠	かずただ
一恵	かずえ
一憲	かずのり
一成	いっせい
一戸	いちのへ
一拓	かずひろ
一政	かずまさ
一文字	いちもんじ
一斉	かずなり
一方井	いっかたい
一早枝	いさえ
一明	かずあき
一晃	いっこう
一晴	かずはる
一暁	かずあき
一朗	いちろう
一木	いちき
一本木	いっぽんぎ
一杉	いちすぎ
一村	いちむら
一条寺	いちじょうじ
一松	ひとつまつ
一枝	かずえ
一柳	いちりゅう
一栄	かずえい
一條	いちじょう
一森	いちもり
一楽	いちらく
一樹	いちき
一橋	いちはし
一機	かずき
一正	かずまさ
一歩	いっぽ
一氏	いちうじ
一泰	かずやす
