# mokuture+ キオスク受付 同梱かな漢字辞書 (実験: experiment/kanji-ime)
# 形式: 読み(ひらがな)<TAB>候補,候補,…   (# 始まりはコメント)
# 用途: 受付フォームで頻出する 姓 / 名 / 会社・受付語彙 を最小構成でカバー。
# 全面的な語彙が必要なら kiosk_agent/ に SKK-JISYO.L を置くと自動マージされる
# (kana_kanji.py の _SKK_CANDIDATES / 環境変数 KANA_DICT_EXTRA)。

# ── 姓 (多い順ベース) ─────────────────────────────────────────
さとう	佐藤
すずき	鈴木
たかはし	高橋
たなか	田中
いとう	伊藤,伊東
わたなべ	渡辺,渡邊
やまもと	山本
なかむら	中村
こばやし	小林
かとう	加藤
よしだ	吉田
やまだ	山田
ささき	佐々木
やまぐち	山口
まつもと	松本,松元
いのうえ	井上
きむら	木村
はやし	林
しみず	清水
やまざき	山崎,山﨑
もり	森
あべ	阿部,安倍
いけだ	池田
はしもと	橋本
やました	山下
いしかわ	石川
なかじま	中島,中嶋
まえだ	前田
ふじた	藤田
おがわ	小川
ごとう	後藤
おかだ	岡田
はせがわ	長谷川
むらかみ	村上
こんどう	近藤
いしい	石井
さいとう	斎藤,斉藤,齋藤,齊藤
さかもと	坂本
えんどう	遠藤
あおき	青木
ふじわら	藤原
にしむら	西村
ふくだ	福田
おおた	太田,大田
みうら	三浦
おかもと	岡本
まつだ	松田
なかがわ	中川
なかの	中野
はら	原
たけうち	竹内
かねこ	金子
わだ	和田
なかやま	中山
いしだ	石田
うえだ	上田,植田
もりた	森田
はらだ	原田
こじま	小島,児島
おち	越智
すぎやま	杉山
おおつか	大塚
ちば	千葉
くどう	工藤
よこやま	横山
みやざき	宮崎
みやもと	宮本
うちだ	内田
たかぎ	高木
あんどう	安藤
たじま	田島,田嶋
ふじい	藤井
にしだ	西田
いその	磯野,礒野
いそがい	磯貝

# ── 名 ────────────────────────────────────────────────────
たろう	太郎,太朗
じろう	次郎,二郎,治郎
さぶろう	三郎
いちろう	一郎,一朗
けんいち	健一,賢一
こういち	浩一,幸一,晃一
しんいち	真一,慎一
ゆうき	勇気,優希,裕貴,悠希
だいき	大輝,大貴,大樹
なおき	直樹,直記
かずや	和也,一也
たくや	拓也,卓也
りょう	諒,亮,遼,涼
けん	健,賢,建
まこと	誠,真,信
ひろし	浩,博,弘,寛
たかし	隆,孝,崇,貴志
つよし	剛,毅
まなぶ	学,愛
みなと	湊,港
はると	陽翔,悠斗,春斗
ゆうと	悠斗,勇人,優斗
そうた	颯太,蒼太
はなこ	花子,華子
ゆうこ	裕子,優子,祐子
かおり	香織,薫
みき	美紀,美樹,幹
ゆき	由紀,由貴,雪
あい	愛,藍
さくら	桜,咲良
みお	美緒,澪
ゆい	結衣,結
めい	芽依,芽生
りん	凛,倫
ひなた	陽向,日向

# ── 会社・法人格 ─────────────────────────────────────────
かぶしきがいしゃ	株式会社
ゆうげんがいしゃ	有限会社
ごうどうがいしゃ	合同会社
いっぱんしゃだんほうじん	一般社団法人
がっこうほうじん	学校法人
いりょうほうじん	医療法人

# ── 業種・部門・受付語彙 ─────────────────────────────────
もっこう	木工
もっこうしょ	木工所
こうぎょう	工業,興業
さんぎょう	産業
せいさく	製作,制作
せいさくしょ	製作所
けんせつ	建設
けんちく	建築
でんき	電気
しょうじ	商事
しょうてん	商店
ぼうえき	貿易
ぎじゅつ	技術
かいはつ	開発
せっけい	設計
せいぞう	製造
はんばい	販売
えいぎょう	営業
そうむ	総務
けいり	経理
じんじ	人事
こうばい	購買
しざい	資材
ほうもん	訪問
うちあわせ	打ち合わせ,打合せ,お打ち合わせ
のうひん	納品
なっぴん	納品
めんせつ	面接
さいよう	採用
よやく	予約
たんとう	担当
たんとうしゃ	担当者
かいぎ	会議
かいぎしつ	会議室
しょうだん	商談
みつもり	見積り,御見積,お見積り
はいたつ	配達
はいそう	配送
しゅうり	修理
てんけん	点検
こうじ	工事
けんがく	見学
あいさつ	挨拶,ご挨拶
